symbol,name,lastsale,netchange,pctchange,marketCap,url
KYMR,"Kymera Therapeutics, Inc. Common Stock",$66.62,0.39,0.589%,"4,793,244,179",/market-activity/stocks/kymr
SHC,Sotera Health Company Common Stock,$16.75,0.19,1.147%,"4,758,573,311",/market-activity/stocks/shc
OPCH,"Option Care Health, Inc. Common Stock",$29.89,-0.005,-0.017%,"4,744,520,582",/market-activity/stocks/opch
ADMA,ADMA Biologics Inc Common Stock,$19.85,-0.26,-1.293%,"4,724,255,635",/market-activity/stocks/adma
TMDX,"TransMedics Group, Inc. Common Stock",$136.51,-2.12,-1.529%,"4,665,137,106",/market-activity/stocks/tmdx
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$27.44,0.89,3.352%,"4,642,349,058",/market-activity/stocks/acad
SRRK,Scholar Rock Holding Corporation Common Stock,$45.02,-0.18,-0.398%,"4,592,375,714",/market-activity/stocks/srrk
AKRO,"Akero Therapeutics, Inc. Common Stock",$54.55,-0.08,-0.146%,"4,490,347,564",/market-activity/stocks/akro
OSCR,"Oscar Health, Inc. Class A Common Stock",$16.77,-0.41,-2.386%,"4,438,750,680",/market-activity/stocks/oscr
CRNX,"Crinetics Pharmaceuticals, Inc. Common Stock",$46.67,-0.75,-1.582%,"4,428,602,173",/market-activity/stocks/crnx
VKTX,"Viking Therapeutics, Inc. Common Stock",$38.55,-0.02,-0.052%,"4,357,551,061",/market-activity/stocks/vktx
LNTH,"Lantheus Holdings, Inc. Common Stock",$63.30,1.43,2.311%,"4,197,535,611",/market-activity/stocks/lnth
ACLX,"Arcellx, Inc. Common Stock",$69.56,1.11,1.622%,"4,022,158,907",/market-activity/stocks/aclx
IMVT,"Immunovant, Inc. Common Stock",$22.84,-0.07,-0.306%,"4,003,315,854",/market-activity/stocks/imvt
INSP,"Inspire Medical Systems, Inc. Common Stock",$136.81,-3.22,-2.30%,"3,975,210,736",/market-activity/stocks/insp
GRAL,"GRAIL, Inc. Common Stock ",$100.98,-3.725,-3.558%,"3,936,424,879",/market-activity/stocks/gral
HAE,Haemonetics Corporation Common Stock,$83.94,0.13,0.155%,"3,929,203,868",/market-activity/stocks/hae
ALHC,"Alignment Healthcare, Inc. Common Stock",$19.55,0.15,0.773%,"3,911,793,556",/market-activity/stocks/alhc
AMRX,"Amneal Pharmaceuticals, Inc. Class A Common Stock",$12.18,0.24,2.01%,"3,828,940,366",/market-activity/stocks/amrx
ARQT,"Arcutis Biotherapeutics, Inc. Common Stock",$31.20,0.04,0.128%,"3,821,756,390",/market-activity/stocks/arqt
LGND,Ligand Pharmaceuticals Incorporated Common Stock,$184.87,-3.63,-1.926%,"3,638,559,576",/market-activity/stocks/lgnd
VCYT,"Veracyte, Inc. Common Stock",$44.61,-2.80,-5.906%,"3,526,383,608",/market-activity/stocks/vcyt
IRON,"Disc Medicine, Inc. Common Stock",$93.26,-0.53,-0.565%,"3,520,580,108",/market-activity/stocks/iron
MIRM,"Mirum Pharmaceuticals, Inc. Common Stock",$68.48,-3.05,-4.264%,"3,519,431,948",/market-activity/stocks/mirm
ICUI,"ICU Medical, Inc. Common Stock",$142.51,0.16,0.112%,"3,518,095,917",/market-activity/stocks/icui
RARE,Ultragenyx Pharmaceutical Inc. Common Stock,$36.38,-0.16,-0.438%,"3,509,853,960",/market-activity/stocks/rare
CGON,"CG Oncology, Inc. Common stock",$43.30,-1.43,-3.197%,"3,492,845,551",/market-activity/stocks/cgon
TARS,"Tarsus Pharmaceuticals, Inc. Common Stock",$81.77,-0.06,-0.073%,"3,471,063,316",/market-activity/stocks/tars
NVST,Envista Holdings Corporation Common Stock,$20.23,0.10,0.497%,"3,326,342,694",/market-activity/stocks/nvst
